Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si
22219126,2023-04-01,C20MMNC(BSP),131.81,0.0,9765.0,1965.0,803.0,5150.0,1674.0,260.0,0.0,6594.0,994.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1934.0,0.9999999999924134,50.02655337189875,4.969465648852433,0.865563598758601,43,0.21,0.75,0.019,0.031,0.24
23300031,2023-04-01,S.TOWER6VAN,121.48,11.08,8913.0,2022.0,744.0,3860.0,2461.0,119.0,400.0,6497.0,1196.0,374.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2980.0,0.916415208200691,53.482054658762905,4.408011869434022,0.8258389261742195,67,0.18,1.31,0.015,0.03,0.23
23300029,2023-04-01,S.TOWER6VAN,119.7,7.43,8943.0,1809.0,751.0,3453.0,2424.0,21.0,431.0,6106.0,1022.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2876.0,0.9415558876666282,51.01086048411854,4.94361525704536,0.842837273991362,67,0.19,1.32,0.019,0.026,0.21
23300024,2023-04-01,1786500D,125.39,8.08,9945.0,1779.0,734.0,3293.0,1789.0,223.0,0.0,6099.0,1027.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2012.0,0.939462051390279,48.64024244318813,5.590219224280163,0.8891650099399159,2,0.22,0.82,0.017,0.026,0.203
23300022,2023-04-01,ASP1239,125.74,8.14,6474.0,1815.0,917.0,2982.0,1195.0,262.0,0.0,5579.0,1123.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1457.0,0.9391992829329311,44.3693335450583,3.5669421487583652,0.8201784488669731,24,0.45,0.73,0.017,0.015,0.24
23300019,2023-04-01,R34,137.28,0.0,13857.0,2481.0,906.0,4262.0,1206.0,305.0,0.0,5777.0,1186.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1511.0,0.9999999999927157,42.08187645656992,5.585247883915524,0.7981469225673077,66,0.61,0.72,0.019,0.023,0.21
23300017,2023-04-01,1786500D,125.77,8.14,10278.0,2232.0,792.0,3803.0,1766.0,207.0,0.0,6260.0,4855.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,1973.0,0.9392129041823672,49.77339588097501,4.604838709675357,0.89508362899093,2,0.2,0.79,0.019,0.028,0.21
23300015,2023-04-01,1786500D,121.2,8.76,9999.0,2007.0,779.0,4546.0,1777.0,228.0,0.0,6398.0,1048.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2005.0,0.9325946444988259,52.78877887745224,4.982062780266576,0.8862842892763659,2,0.18,0.79,0.019,0.03,0.214
23300012,2023-04-01,C20MMNC(BSP),126.49,7.43,9525.0,1965.0,826.0,3726.0,1786.0,241.0,0.0,6407.0,1036.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2027.0,0.944519115883031,50.65222547196891,4.847328244272342,0.8811050814006507,43,0.2,0.83,0.022,0.03,0.2
23300010,2023-04-01,C20MMNACU,125.7,8.0,9000.0,1986.0,837.0,3108.0,1773.0,237.0,0.0,6201.0,1276.0,0.0,0.1427692307692308,0.042576923076923075,0.8614230769230768,2010.0,0.9401645474873587,49.331742243044296,4.531722054378383,0.8820895522383672,39,0.2,0.78,0.017,0.035,0.2
