Heat_Number,Date,BOF Grade Code,Hot Metal Addn. Weight,Scrap Addn. Weight,Lime Into Converter,Dolomite Into Converter,Lime Into Ladle,Iron Ore Into Converter,SIMN Into Ladle,FESI Into Ladle,FEMN Into Ladle,Measered O2 Mainblow II,Duration of Mainblow I/II,Measered O2 2nd Blow,HM_P,HM_S,HM_Si,Total_FA_Ladle,HM_Ratio,O2_per_ton_HM,Lime_Dolo_Ratio,SiMn_FA_Fraction,Grade_Encoded,C,Mn,P,S,Si,FeO,CaO,SiO2,Al2O3,MnO,MgO,P2O5,Basicity,Slag_SP_Index
23300022,2023-04-01,ASP1239,125.74,8.14,6474.0,1815.0,917.0,2982.0,1195.0,262.0,0.0,5579.0,1123.0,0.0,0.1427692307692308,0.042576923076923,0.8614230769230768,1457.0,0.9391992829329312,44.3693335450583,3.566942148758365,0.8201784488669731,24,0.45,0.73,0.017,0.015,0.24,24.745,47.887,17.912,0.521,1.113,4.048,2.21,2.673309886674482,1.1225795864785035
23200020,2023-04-01,1786500D,125.6,8.49,10908.0,609.0,910.0,2856.0,1650.0,300.0,246.0,7262.0,1183.0,272.0,0.1427692307692308,0.042576923076923,0.8614230769230768,2196.0,0.9366843164968552,57.81847133711928,17.911330049231672,0.7513661202182371,2,0.2,0.79,0.031,0.033,0.196,17.001,53.539,19.016,0.79,0.43,5.338,2.196,2.815323131934585,1.4864512188350272
23200006,2023-04-01,1786500D,125.41,8.14,9627.0,1500.0,792.0,2798.0,1711.0,283.0,0.0,6814.0,1065.0,0.0,0.1427692307692308,0.042576923076923,0.8614230769230768,1994.0,0.9390490452943536,54.33378518416128,6.417999999995722,0.8580742226675737,2,0.19,0.71,0.021,0.023,0.199,24.176,49.507,15.712,1.027,0.779,5.326,1.93,3.1507032393559475,1.241119105517812
23100045,2023-04-02,2062BK1,124.26,0.0,9981.0,1785.0,767.0,4310.0,1659.0,257.0,0.0,6094.0,1830.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,1916.0,0.9999999999919524,49.04233059674036,5.591596638652329,0.8658663883085251,6,0.22,0.88,0.016,0.028,0.23,12.017,49.788,24.5605,3.561,1.002,6.288,1.1025,2.027074893634346,1.3611274382492446
23100048,2023-04-02,2062BK1,123.87,8.29,9249.0,1857.0,747.0,3813.0,1671.0,261.0,0.0,6677.0,1095.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,1932.0,0.9372730024142156,53.90328570231773,4.980613893373731,0.8649068322976889,6,0.2,0.76,0.017,0.023,0.19,15.416,53.53,18.839,2.473,0.923,4.975,2.205,2.841295116772824,1.5626459598318547
23100078,2023-04-02,C20MMNC(BSP),126.7,8.15,9705.0,1983.0,787.0,2908.0,1712.0,233.0,0.0,6574.0,1150.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,1945.0,0.9395624768191356,51.88634569809087,4.894099848711601,0.8802056555265397,43,0.21,0.84,0.02,0.02,0.22,24.861,48.936,15.729,1.151,0.798,5.107,1.898,3.110998092816275,1.2055874454928432
23100081,2023-04-02,C20MMNC(BSP),121.31,7.43,11295.0,1986.0,842.0,5195.0,1729.0,345.0,0.0,6462.0,1085.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,2074.0,0.9422867795483744,53.26848569735992,5.687311178244871,0.8336547733843618,43,0.21,0.83,0.022,0.019,0.22,27.118,47.675,15.769,0.572,0.71,4.559,2.107,3.0231452124286617,1.1116163029285582
23200066,2023-04-02,C20MMNC(BSP),118.43,8.09,10692.0,2697.0,910.0,3036.0,1684.0,267.0,179.0,6467.0,1030.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,2130.0,0.936057540302434,54.60609642780877,3.96440489432556,0.7906103286381265,43,0.21,0.86,0.022,0.021,0.2,18.819,53.411,17.689,0.732,0.447,5.099,2.068,3.0192764273600905,1.4629543400257474
23200063,2023-04-02,1786500D,123.66,8.14,8400.0,1380.0,897.0,2232.0,1674.0,250.0,0.0,5985.0,950.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,1924.0,0.938239757200772,48.39883551634806,6.086956521734719,0.8700623700619179,2,0.21,0.86,0.017,0.024,0.244,17.789,53.966,18.059,0.794,0.545,5.066,2.042,2.9881506090808414,1.5053697453206507
23200053,2023-04-02,1786500D,121.72,7.86,8931.0,1497.0,803.0,3609.0,2403.0,108.0,489.0,6547.0,1592.0,0.0,0.1345833333333333,0.0351249999999999,0.971125,3000.0,0.9393424911179244,53.78738087369547,5.96593186372347,0.800999999999733,2,0.2,1.18,0.017,0.014,0.19,2.82,56.533,28.614,2.225,1.967,6.6,0.085,1.975642145727765,1.7984094162557658
