Model,Element,RMSE,MAE,R2
linear_regression,Mn,0.07083207796270395,0.05119188540848048,0.9072898517275653
linear_regression,Si,0.02008749350489016,0.015845186284573834,-0.009071466087520186
linear_regression,C,0.04497876258360728,0.02319524951559981,0.22315999803717046
linear_regression,S,0.005998470887906308,0.004789591936394207,0.09873884598673222
linear_regression,P,0.00559540120153645,0.004496636132364286,0.07387912064871627
random_forest,Mn,0.04405895289354393,0.030696757567079118,0.9641296467749424
random_forest,Si,0.019980061595038255,0.015750006759834546,0.0016931009362488592
random_forest,C,0.014663799069499904,0.011187981936798073,0.9174324161463504
random_forest,S,0.005887201645717468,0.004686122951841344,0.13186480289844127
random_forest,P,0.0055865158795604915,0.004510229672263491,0.07681808723997585
xgboost_composition,Mn,0.04363415765951648,0.03104571354191871,0.9648180016952514
xgboost_composition,Si,0.02006271590142176,0.015844732387592497,-0.006583654192265032
xgboost_composition,C,0.01422718225390816,0.011108540199502996,0.9222761394406003
xgboost_composition,S,0.005967963707463981,0.004743310011792132,0.10788284949327531
xgboost_composition,P,0.0055918545533363865,0.00449079548668786,0.07505279304532819
lightgbm_composition,Mn,0.043130324108142555,0.030626843287452885,0.9656257877886864
lightgbm_composition,Si,0.019970505888141515,0.015763413428195094,0.0026477773648017067
lightgbm_composition,C,0.014424258454841103,0.011143102166995475,0.9201079500217861
lightgbm_composition,S,0.005977049349633754,0.004748940999587726,0.10516445927365736
lightgbm_composition,P,0.005604457830620304,0.004498773760900714,0.07087868477146331
ensemble_xgb_lgbm,Mn,0.0430909956124805,0.03069565217397069,0.9656884476329335
ensemble_xgb_lgbm,Si,0.019968660346664804,0.015763356736979005,0.0028321061798579628
ensemble_xgb_lgbm,C,0.014229225751205526,0.01109245401629665,0.9222538103662001
ensemble_xgb_lgbm,S,0.005964214972782185,0.004739352885141708,0.10900325179917947
ensemble_xgb_lgbm,P,0.005591130454248501,0.004490435805372177,0.07529232361921356
