Grade,N_heats,RMSE_Mn,RMSE_Si,RMSE_C,RMSE_S,RMSE_P
2062BK1,3113,0.04386,0.01982,0.01396,0.00617,0.00562
S.TOWER6VAN,1558,0.03657,0.01959,0.0115,0.00549,0.00528
1786550D,1289,0.03856,0.02004,0.01301,0.00668,0.00631
C20MMNC,968,0.04096,0.01954,0.01391,0.00575,0.00556
SEQRFE550D,748,0.04173,0.01787,0.01214,0.00523,0.00501
C20MMNACUTLT,373,0.03467,0.01971,0.01511,0.0063,0.00622
TMT-FE500D,322,0.05029,0.02005,0.01873,0.00595,0.00586
IS2062E350BR,243,0.0674,0.02104,0.01197,0.0058,0.00513
EXPORTDSP14,237,0.03129,0.0202,0.01286,0.00644,0.00593
1786500D,207,0.07467,0.02114,0.02072,0.00623,0.00561
R19,73,0.01705,0.03279,0.01332,0.00396,0.00278
R34,70,0.01987,0.02681,0.02614,0.00393,0.00346
SAILTOWER6VA,69,0.0318,0.02626,0.01141,0.00527,0.00507
C25-HMNMAV55,44,0.02642,0.02165,0.01077,0.00413,0.00387
2062ACUK1,35,0.03558,0.01886,0.0159,0.00706,0.0064
ASP1239,30,0.0285,0.0237,0.02886,0.00473,0.00362
1786550DHCR,17,0.02644,0.02264,0.01797,0.00392,0.0052
2062E350RC,16,0.12178,0.02744,0.00813,0.00323,0.00379
C20HMNA,13,0.15515,0.02991,0.01621,0.00557,0.00546
C25HMN,9,0.03678,0.02927,0.06235,0.00829,0.00401
C20MMNA(CU),7,0.03045,0.01254,0.01423,0.00251,0.00676
IS2062E250B0,4,0.07782,0.02243,0.01396,0.00816,0.00276
IS2062E410B0,4,0.03337,0.01372,0.0129,0.00527,0.00353
C25-HMNV55AL,4,0.25186,0.02132,0.00669,0.00653,0.00151
C15HMNA,4,0.06354,0.02324,0.02538,0.00947,0.00922
TMT600,3,0.08104,0.03356,0.0094,0.00231,0.00138
C20MMNA,3,0.03553,0.03209,0.02335,0.00403,0.0043
WTCC1875CL6,3,0.02914,0.02597,0.02205,0.00325,0.00233
SEQR500D,3,0.05381,0.01653,0.02432,0.00356,0.00259
SS540RC2ALKD,3,0.12233,0.02135,0.0068,0.00735,0.00386
ASP1302,2,0.0517,0.0226,0.04814,0.00482,0.00487
WTCC1875CL5,2,0.04341,0.02912,0.06218,0.00319,0.00077
2062E410BR,2,0.11412,0.06377,0.00539,0.00907,0.00579
C18HMNCMAALK,2,0.09701,0.00372,0.0078,0.00211,0.00319
14650G2062,1,0.03402,0.0223,0.04011,0.00661,0.005
2062E300BR,1,0.39669,0.01334,0.01964,0.00174,0.00496
ASP6755,1,0.0099,0.01601,0.14792,0.00333,0.00323
EN13262ER8,1,0.01554,0.0515,0.17093,0.00447,0.00396
R16,1,0.01116,0.00839,0.01294,0.00325,0.01025
