Evaluating Hierarchical Optimization across step sizes and coarse stages...
------------------------------------------------------------------------------------------------------------------------
Coarse Step | Step (kg) | FEMN   | SIMN   | FESI   | Total FA  | Feasible | Time (ms)
------------------------------------------------------------------------------------------------------------------------
50          | 50        | 0      | 0      | 200    | 200       | True     | 2701.87  
50          | 25        | 0      | 0      | 180    | 180       | True     | 4235.05  
50          | 20        | 0      | 0      | 180    | 180       | True     | 3466.19  
50          | 10        | 0      | 0      | 180    | 180       | True     | 4227.40  
50          | 5         | 0      | 0      | 180    | 180       | True     | 4321.28  
50          | 2         | 0      | 0      | 178    | 178       | True     | 4209.09  
50          | 1         | 0      | 0      | 177    | 177       | True     | 4199.56  
100         | 50        | 0      | 0      | 180    | 180       | True     | 543.91   
100         | 25        | 0      | 0      | 180    | 180       | True     | 446.33   
100         | 20        | 0      | 0      | 180    | 180       | True     | 412.13   
100         | 10        | 0      | 0      | 180    | 180       | True     | 493.57   
100         | 5         | 0      | 0      | 180    | 180       | True     | 631.71   
100         | 2         | 0      | 0      | 178    | 178       | True     | 720.77   
100         | 1         | 0      | 0      | 177    | 177       | True     | 814.23   
------------------------------------------------------------------------------------------------------------------------
